日本語,英語,例文,,
説明責任,Accountibility,,,
外務化する,"Externalization, to externalize",業務の外務化。専門性の高い業務を外部化する。,,
審査する,"A review, to review",,,
呼び起こす,To awaken (a person/emotion),批判を呼び起こしたトランプの話し方。感動を呼び起こす。古い記憶を呼び起こす。寝入り端を呼び起こされる。,,
身ごもる,To be pregnant,,,
お呼ばれ,An invitation of hospitality,,,
朝令暮改（ちょうれいぼかい）,Policy that changes with the mood,朝に定めたものを夜になって改める。,,
過日,The other day,過日最終校正原稿にてご確認いただいた。,,
寝入り端（ばな）≪副詞≫,After just having fallen asleep,寝入り端を電話で起こされる。寝入り端を呼び起こされる。,,
受診票,A medical checkup result,,,
精製する、精製所,"Refining, a refinery (smelting is a form of refining)",,,
精錬する・精錬所,"Smelting, a smeltery",,,
過保護な,To be overprotective,過保護が過ぎるぞ。,,
祭る（まつ）,To enshrine,この記念碑は祖国に命を捧げた兵士を祭ってる。,,
渡し船（わたしぶね）,A ferry,,,
言い出しっぺ,The first person to say/bring something up,結局言い出しっぺが来てない、どういうこと？,,
金ぴか（きん）「の」,Golden,この金ぴかの像は俺のものだ。,,
連絡事項,Contact matters,,,
昇華する（しょうか）,"Sublimation, to sublimate (evaporation (Chemistry term))",,,
水没する（すいぼつ）,To be submerged,町全体が水没した。満ち潮で水没する砂浜でキャンプを張るのは実に愚かだ。,,
群像,A portrayal of many people,,,
失調する,To lose its harmony,,,
非公式な,To be unofficial,非公式な発表。,,
決断力のある・果断な,To be decisive,人に決断力があるとしか使えない。果断は行動に対して使える。,,
全粒粉（ぜんりゅうこ）,Whole grain,,,
幻影（げんえい）,An illusion,,,
意気地なし（いくじ）,To be a coward,,,
鬱蒼（うっそう）「とする」,To be overgrown,茂る・生い茂る」打当とした森林。,,
培う（つちか）,To cultivate,体力を培う。友情を培う。,,
既得権（きとくけん）,Legal priviliges/vested interest,,,
法務省,The Ministry of Justice,,,
滅入る（めい）,To be depressed,,,
手土産（てみやげ）,A present that one takes to destination,,,
航空便・船便（ふな）,"Airmail, ship mail",,,
疎明（そめい）,Objective evidence,,,
確からしい（たし）,To be likely/probable,最も確からしい位置。確からしい結果。,,
管渠（かんきょ）,A sewer pipe,管渠掃除機A sewer cleaning probe,,
しげしげ「と」,Fixedly,何をしげしげ見てる？,,
人的過誤,Human error,,,
附票,A slip,,,
住民票,A residence certificate,,,
証印,A seal of approval,,,
車台番号・車体番号,A vehicle identification number (VIN),車台番号（しゃだいばんごう）とは、原動機付自転車と自動車の車台部分に打刻される、車両に固有の識別番号である。非公式には車体番号やフレームナンバーとも呼ばれる」,,
最新鋭機（えいき）,A state of the art machine,,,
重ね刷りする（ず）,"Layered printing, to print in layers",,,
超法規的な,Extralegal,,,
硬水（こうすい）、軟水（なんすい）,"Hard water, soft water",硬水は鉱物の飽和率が高い」,,
喜劇（きげき）,A comedy,,,
相互参照する,"A cross reference, to cross reference",,,
かがり火（び）,A brazier,,,
こんがり～、こんがりと～,To be well cooked,こんがり肉。この夏はこんがり焼こうと思う。私はこんがりと小麦色に日焼けした。魚は火でゆっくり、缶狩りや着替える。,,
入り浸る（いりびたる）,To hang around,彼はパチンコ屋に入り浸ってる。父親いなくなってジョンは居酒屋に入り浸るようになった。親が仕事で忙しいのをいい子のをいいことに子供が友達の家に入り浸ってしまってる。,,
常闇（とこやみ）,Everlasting darkness,,,
追憶する,"Recollection, to recollect",,,
断罪する,"Conviction, to convict",責任者を断罪する。,,
荒くれ者（あら）・荒くれ,A ruffian,,,
身投げする,To throw oneself to/from (to commit suicide),,,
大立ち回り（おお）,A fight scene (scuffle),,,
瓦解する（が）,"Collaspse/falling to pieces, to collapse/to fall to pieces",民が迷い、混乱を極め、悪ければ国は瓦解するだろう。汚職から政権が瓦解する。,,
愛玩する（あいがん）,To care for,愛玩犬。愛玩する珍獣。,,
足踏みする（ぶ）,"To be at a standstill, to stamp one's feet",足踏みマシンA foot stamping machine工事は足踏みしてる。彼女は足踏みをして靴から泥を落とした。,,
突っ立つ,To stand around and do nothing,立って何もしてない状態。,,
最たる（さい）,To be prime,,,
介抱する,To take care of/to look after,,,
脅し文句,Threatening words,,,
気鋭の（きえい）,To be enthusiastic,新進気鋭のAn up and coming enthusiastic~,,
算段する,"Thinking of a way to, to think of a way to",居候を追い出す算段をする。引越しの費用を算段する。,,
ちゃっかりする・打算的な,To be calcuating,自分の利益のために抜け目なくふるまうさま」,,
出没する（しゅつぼつ）,To appear and disappear,野獣出没注意。,,
神凪（かんなぎ）,A diviner/oracle,,,
微量の,A trace amount of,微量の酸素。,,
投光照明,A floodlight,,,
疑い深い・疑り深い,To be doubtful,懐疑的」,,
微妙な,To be iffy,,,
一人歩き,To walk off/to walk alone,データが独り歩きする。,,
薬玉（くすだま）,A decorative ball,,,
植わる,To be planted,,,
干からびる,To be comepletely dry,乾涸びたみかんの皮。,,
気がまぎれる,To be diverted,芝居を見たら気が紛れた。,,
敬服する,"Admiration, to admire",彼の研究心に敬服する。,,
キャッチコピー,A sales copy/catchphrase,,,
興じる・興ずる,To enjoy,釣に興ずる。スマホに興じる。,,
追い返す,To chase away (enemy etc）,,,
揶揄する（やゆ）,"Ridicule, to ridicule",,,
貶める（おとし）,To look down on,,,
御法度（はっと）,To be taboo,,,
嫌忌する（けんき）,To despise,,,
呼吸器系,The respiratory system,,,
循環器系,The circulation system,,,
神経系統,The nervous system,,,
鼻柱（ばしら）,A septum (bridge of nose),,,
迷走する,"Straying off course, to stray off course (the beaten path）",議論が迷走する。迷走する航空機。迷走する台風。,,
一事（いちじ）,A single thing,,,
札付きの（ふだつ）・悪名高い（あくみょうたかい）,To be notorious,札付きのトロリスト。,,
地政学,Geopolitics,,,
恩師,A teacher one is indebted to,,,
傾注する（けいちゅう）,"Focus, to focus on",,,
名答・ご名答,A wonderful answer,御名答、その通り！,,
覇権主義（はけん）,Hegemonism,,,
建蔽率（ぺい）,Building coverage ratio (building to land),,,
重力補助,A gravity assist,,,
お使いをやる・用事を済ます,To run an errand,,,
呼び出す・呼び起こす,To call on a program,,,
辻褄（つじつま）,Conherency (to be logically connected),辻褄を合わせるTo make coherentつじつまが合うTo be coherent,,
他意・悪意,Ill intention/ill will,,,
金一封（きんいっぷう）,A gift of money in an envelope,,,
間借りする（まが）,"Renting a room, to rent a room",,,
胡坐をかく（あぐら）,To sit crosslegged/indian style,,,
巻き返す,To rewind/regain one's momentum,劣勢から勢いを取り戻して反撃する」巻き尺を巻き返す。土壇場で巻き返す。,,
沈痛な,To be sorrowful,,,
荷解きする（ほどき）,"Unpkacking, to unpack",荷造りするTo pack,,
蛮行（ばんこう）,A barberous act,,,
暴挙,A violent action,,,
公道適用・仕様、公道非適用,"Street legal, non street legal",違法改造。,,
封じ込め、封じ込める,"Containment, to contain",原子核には大量のエネルギーが封じ込められてる。,,
妥当な,To be valid/proper,妥当な方法をとる。現実社会に妥当する政策。,,
いつになく,Unusually～,いつになく賑やかだね。今日の練習はいつになく難しくて辛い。,,
索敵する,Reconnaissance,,,
よしなに,A greeting etc (not used in real life),,,
立ち位置,A standing location,立ち位置表。,,
～に次ぐ,Next to,そこはロンドンに次ぐ世界2位の金市場である。イルカは人間に次いでもっとも知能が高い動物。,,
出版権・版権・著作権,Copyright,,,
軋み（きし）,Strife,両国間に軋みが生じた。,,
反落する,To fall in reaction to (stocks),何かに反応して下落する」,,
上々（じょうじょう）「の」,To be great,天気は上々だ。あなたのことだから上々でしょう。彼の評判が上々だ。,,
かっぽじる,To clean out by poking,耳の穴をかっぽじってよく聞け。,,
舵取りする（かじと）,"Ruddering, to rudder",指揮を取る」,,
立場上の特典,A perk of the job,,,
万国博覧会（ばんこくはくらんかい）,An international exposition,万博（ばんぱく）略語」,,
兵科,A unit (of army),,,
携行する,"Carrying, to carry",武器を携行するTo wield a weapon,,
匍匐する（ほふく）,"Proning, to go prone",匍匐前進する。,,
ちびる,"To be skimpy, to wet onself",～代をちびる。予算をちびる。小遣いをちびる。怖くてちびりそうになった。,,
禿びる（ち）,To dull,先が擦り切れて短くなる」ちびた鉛筆。,,
ゆめゆめ～ない・全然,Not even a little,ゆめゆめ忘れるな。ゆめゆめ考えもしなかった。,,
戦役（えき）,A war,,,
他人事（ひとごと・たにんごと）,Someone else's affair/problem,いつも否定的に用いられる」それはもう日知事じゃない。,,
礎（いしずえ）,A foundation,健全な礎を築きあげる。,,
札束（さつたば）,A wad of bills/cash,,,
